soc_code,title,major_group_code,onet_text_enriched,onet_text_nlp
11-3031.01,Treasurers and Controllers,11,Treasurers and Controllers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,treasurers and controllers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3031.03,Investment Fund Managers,11,Investment Fund Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,investment fund managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3051.00,Industrial Production Managers,11,Industrial Production Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,industrial production managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3051.01,Quality Control Systems Managers,11,Quality Control Systems Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,quality control systems managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3051.02,Geothermal Production Managers,11,Geothermal Production Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,geothermal production managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3051.03,Biofuels Production Managers,11,Biofuels Production Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,biofuels production managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3051.04,Biomass Power Plant Managers,11,Biomass Power Plant Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,biomass power plant managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3051.06,Wind Energy Operations Managers,11,Wind Energy Operations Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,wind energy operations managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3061.00,Purchasing Managers,11,Purchasing Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,purchasing managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3071.00,"Transportation, Storage, and Distribution Managers",11,"Transportation, Storage, and Distribution Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources","transportation, storage, and distribution managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources"
11-3071.04,Supply Chain Managers,11,Supply Chain Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,supply chain managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3111.00,Compensation and Benefits Managers,11,Compensation and Benefits Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,compensation and benefits managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3121.00,Human Resources Managers,11,Human Resources Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,human resources managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3131.00,Training and Development Managers,11,Training and Development Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,training and development managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11,"Farmers, Ranchers, and Other Agricultural Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources","farmers, ranchers, and other agricultural managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources"
11-9021.00,Construction Managers,11,Construction Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,construction managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-9031.00,"Education Administrators, Preschool and Childcare",11,"Education Administrators, Preschool and Childcare management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources","education administrators, preschool and childcare management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources"
11-9032.00,"Education Administrators, Kindergarten through Secondary",11,"Education Administrators, Kindergarten through Secondary management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources","education administrators, kindergarten through secondary management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources"
11-9033.00,"Education Administrators, Postsecondary",11,"Education Administrators, Postsecondary management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources","education administrators, postsecondary management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources"
11-9041.00,Architectural and Engineering Managers,11,Architectural and Engineering Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,architectural and engineering managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-9041.01,Biofuels Technology and Product Development Managers,11,Biofuels Technology and Product Development Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,biofuels technology and product development managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
