kode_unit,judul_unit,deskripsi_unit_clean,deskripsi_unit_clean_nlp,deskripsi_unit_enriched,deskripsi_unit_enriched_nlp,level_kkni,doc_sector,doc_title
J.62DPM00.013.1,Mengatur Sumber Daya Proyek,Mengatur Sumber Daya Proyek. Information dan Communication Technologies (ICT) Project Management,mengatur sumber daya proyek. information dan communication technologies (ict) project management,mengatur sumber daya proyek. information dan communication technologies (ict) project management,mengatur sumber daya proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.014.1,Mengendalikan Sumber Daya Proyek,Mengendalikan Sumber Daya Proyek. Information dan Communication Technologies (ICT) Project Management,mengendalikan sumber daya proyek. information dan communication technologies (ict) project management,control sumber daya proyek. information dan communication technologies (ict) project management,control sumber daya proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.015.2,Melakukan Perencanaan Pengelolaan Pengadaan Proyek,Melakukan Perencanaan Pengelolaan Pengadaan Proyek. Information dan Communication Technologies (ICT) Project Management,melakukan perencanaan pengelolaan pengadaan proyek. information dan communication technologies (ict) project management,melakukan perencanaan pengelolaan pengadaan proyek. information dan communication technologies (ict) project management,melakukan perencanaan pengelolaan pengadaan proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.016.1,Melakukan Implementasi Pengadaan Proyek,Melakukan Implementasi Pengadaan Proyek. Information dan Communication Technologies (ICT) Project Management,melakukan implementasi pengadaan proyek. information dan communication technologies (ict) project management,melakukan implementasi pengadaan proyek. information dan communication technologies (ict) project management,melakukan implementasi pengadaan proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.017.1,Melakukan Pemantauan Pelaksanaan Pengadaan Proyek,Melakukan Pemantauan Pelaksanaan Pengadaan Proyek. Information dan Communication Technologies (ICT) Project Management,melakukan pemantauan pelaksanaan pengadaan proyek. information dan communication technologies (ict) project management,melakukan pemantauan pelaksanaan pengadaan proyek. information dan communication technologies (ict) project management,melakukan pemantauan pelaksanaan pengadaan proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.018.2,Merencanakan Kualitas Proyek,Merencanakan Kualitas Proyek. Information dan Communication Technologies (ICT) Project Management,merencanakan kualitas proyek. information dan communication technologies (ict) project management,plan kualitas proyek. information dan communication technologies (ict) project management,plan kualitas proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.019.1,Mengelola Kualitas Proyek,Mengelola Kualitas Proyek. Information dan Communication Technologies (ICT) Project Management,mengelola kualitas proyek. information dan communication technologies (ict) project management,manage kualitas proyek. information dan communication technologies (ict) project management,manage kualitas proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.020.1,Mengendalikan Kualitas Proyek,Mengendalikan Kualitas Proyek. Information dan Communication Technologies (ICT) Project Management,mengendalikan kualitas proyek. information dan communication technologies (ict) project management,control kualitas proyek. information dan communication technologies (ict) project management,control kualitas proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.021.2,Membangun Perencanaan Risiko Proyek,Membangun Perencanaan Risiko Proyek. Information dan Communication Technologies (ICT) Project Management,membangun perencanaan risiko proyek. information dan communication technologies (ict) project management,build perencanaan risiko proyek. information dan communication technologies (ict) project management,build perencanaan risiko proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.022.1,Mengelola Respons Risiko,Mengelola Respons Risiko. Information dan Communication Technologies (ICT) Project Management,mengelola respons risiko. information dan communication technologies (ict) project management,manage respons risiko. information dan communication technologies (ict) project management,manage respons risiko. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.023.1,Mengendalikan Risiko,Mengendalikan Risiko. Information dan Communication Technologies (ICT) Project Management,mengendalikan risiko. information dan communication technologies (ict) project management,control risiko. information dan communication technologies (ict) project management,control risiko. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.024.2,Membangun Pengelolaan Komunikasi Proyek,Membangun Pengelolaan Komunikasi Proyek. Information dan Communication Technologies (ICT) Project Management,membangun pengelolaan komunikasi proyek. information dan communication technologies (ict) project management,build pengelolaan komunikasi proyek. information dan communication technologies (ict) project management,build pengelolaan komunikasi proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.025.1,Mengelola Komunikasi,Mengelola Komunikasi. Information dan Communication Technologies (ICT) Project Management,mengelola komunikasi. information dan communication technologies (ict) project management,manage komunikasi. information dan communication technologies (ict) project management,manage komunikasi. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.026.1,Memantau Komunikasi,Memantau Komunikasi. Information dan Communication Technologies (ICT) Project Management,memantau komunikasi. information dan communication technologies (ict) project management,monitor komunikasi. information dan communication technologies (ict) project management,monitor komunikasi. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.027.2,Mengidentifikasi Pemangku Kepentingan Proyek,Mengidentifikasi Pemangku Kepentingan Proyek. Information dan Communication Technologies (ICT) Project Management,mengidentifikasi pemangku kepentingan proyek. information dan communication technologies (ict) project management,identify pemangku kepentingan proyek. information dan communication technologies (ict) project management,identify pemangku kepentingan proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.028.1,Merencanakan Peranan Pemangku Kepentingan Proyek,Merencanakan Peranan Pemangku Kepentingan Proyek. Information dan Communication Technologies (ICT) Project Management,merencanakan peranan pemangku kepentingan proyek. information dan communication technologies (ict) project management,plan peranan pemangku kepentingan proyek. information dan communication technologies (ict) project management,plan peranan pemangku kepentingan proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.029.1,Mengelola Keterlibatan Pemangku Kepentingan yang Terkait Proyek,Mengelola Keterlibatan Pemangku Kepentingan yang Terkait Proyek. Information dan Communication Technologies (ICT) Project Management,mengelola keterlibatan pemangku kepentingan yang terkait proyek. information dan communication technologies (ict) project management,manage keterlibatan pemangku kepentingan yang terkait proyek. information dan communication technologies (ict) project management,manage keterlibatan pemangku kepentingan yang terkait proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.030.1,Memantau Hubungan dengan Pemangku Kepentingan Proyek,Memantau Hubungan dengan Pemangku Kepentingan Proyek. Information dan Communication Technologies (ICT) Project Management,memantau hubungan dengan pemangku kepentingan proyek. information dan communication technologies (ict) project management,monitor hubungan dengan pemangku kepentingan proyek. information dan communication technologies (ict) project management,monitor hubungan dengan pemangku kepentingan proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.001.2,Mengembangkan Piagam Proyek,Mengembangkan Piagam Proyek. Information dan Communication Technologies (ICT) Project Management,mengembangkan piagam proyek. information dan communication technologies (ict) project management,develop piagam proyek. information dan communication technologies (ict) project management,develop piagam proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62TIS00.001.1,Menyusun Prosedur Penanganan Insiden Siber,Menyusun Prosedur Penanganan Insiden Siber. Tanggap Insiden Siber,menyusun prosedur penanganan insiden siber. tanggap insiden siber,menyusun prosedur penanganan insiden siber. cyber incident response,menyusun prosedur penanganan insiden siber. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.002.1,Menguji Prosedur Penanganan Insiden Siber,Menguji Prosedur Penanganan Insiden Siber. Tanggap Insiden Siber,menguji prosedur penanganan insiden siber. tanggap insiden siber,test prosedur penanganan insiden siber. cyber incident response,test prosedur penanganan insiden siber. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.003.1,Mengelola Tim Tanggap Insiden Siber,Mengelola Tim Tanggap Insiden Siber. Tanggap Insiden Siber,mengelola tim tanggap insiden siber. tanggap insiden siber,manage tim cyber incident response. cyber incident response,manage tim cyber incident response. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.004.1,Melaksanakan Simulasi Penanganan Insiden Siber,Melaksanakan Simulasi Penanganan Insiden Siber. Tanggap Insiden Siber,melaksanakan simulasi penanganan insiden siber. tanggap insiden siber,execute simulasi penanganan insiden siber. cyber incident response,execute simulasi penanganan insiden siber. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.005.1,Menyediakan Perangkat Tanggap Insiden Siber,Menyediakan Perangkat Tanggap Insiden Siber. Tanggap Insiden Siber,menyediakan perangkat tanggap insiden siber. tanggap insiden siber,menyediakan perangkat cyber incident response. cyber incident response,menyediakan perangkat cyber incident response. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.006.1,Melakukan Pemeliharaan Perangkat Tanggap Insiden Siber,Melakukan Pemeliharaan Perangkat Tanggap Insiden Siber. Tanggap Insiden Siber,melakukan pemeliharaan perangkat tanggap insiden siber. tanggap insiden siber,melakukan pemeliharaan perangkat cyber incident response. cyber incident response,melakukan pemeliharaan perangkat cyber incident response. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.007.1,Melakukan Konfirmasi Kemungkinan Terjadinya Insiden Siber,Melakukan Konfirmasi Kemungkinan Terjadinya Insiden Siber. Tanggap Insiden Siber,melakukan konfirmasi kemungkinan terjadinya insiden siber. tanggap insiden siber,melakukan konfirmasi kemungkinan terjadinya insiden siber. cyber incident response,melakukan konfirmasi kemungkinan terjadinya insiden siber. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.008.1,Melakukan Penilaian Dampak Insiden Siber,Melakukan Penilaian Dampak Insiden Siber. Tanggap Insiden Siber,melakukan penilaian dampak insiden siber. tanggap insiden siber,melakukan penilaian dampak insiden siber. cyber incident response,melakukan penilaian dampak insiden siber. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.009.1,Menganalisis Insiden untuk Menentukan Penyebab Insiden Siber,Menganalisis Insiden untuk Menentukan Penyebab Insiden Siber. Tanggap Insiden Siber,menganalisis insiden untuk menentukan penyebab insiden siber. tanggap insiden siber,analyze insiden untuk menentukan penyebab insiden siber. cyber incident response,analyze insiden untuk menentukan penyebab insiden siber. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.010.1,Melakukan Penahanan Terhadap Insiden Siber Agar Tidak Berdampak Lebih Luas,Melakukan Penahanan Terhadap Insiden Siber Agar Tidak Berdampak Lebih Luas. Tanggap Insiden Siber,melakukan penahanan terhadap insiden siber agar tidak berdampak lebih luas. tanggap insiden siber,melakukan penahanan terhadap insiden siber agar tidak berdampak lebih luas. cyber incident response,melakukan penahanan terhadap insiden siber agar tidak berdampak lebih luas. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.011.1,Menghilangkan Penyebab Insiden Siber,Menghilangkan Penyebab Insiden Siber. Tanggap Insiden Siber,menghilangkan penyebab insiden siber. tanggap insiden siber,menghilangkan penyebab insiden siber. cyber incident response,menghilangkan penyebab insiden siber. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.012.1,Melakukan Pemulihan Sistem,Melakukan Pemulihan Sistem. Tanggap Insiden Siber,melakukan pemulihan sistem. tanggap insiden siber,melakukan pemulihan sistem. cyber incident response,melakukan pemulihan sistem. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62TIS00.013.1,Melakukan Pelaporan Penanganan Insiden Siber,Melakukan Pelaporan Penanganan Insiden Siber. Tanggap Insiden Siber,melakukan pelaporan penanganan insiden siber. tanggap insiden siber,melakukan pelaporan penanganan insiden siber. cyber incident response,melakukan pelaporan penanganan insiden siber. cyber incident response,,Tanggap Insiden Siber,SKKNI Tanggap Insiden Siber
J.62LTI00.002.1,Menyusun Rencana Pelaksanaan Manajemen Layanan Teknologi Informasi,Menyusun Rencana Pelaksanaan Manajemen Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menyusun rencana pelaksanaan manajemen layanan teknologi informasi. manajemen layanan teknologi informasi,menyusun rencana pelaksanaan service management information technology. service management information technology,menyusun rencana pelaksanaan service management information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.003.1,Menyusun Katalog Layanan Teknologi Informasi,Menyusun Katalog Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menyusun katalog layanan teknologi informasi. manajemen layanan teknologi informasi,menyusun katalog layanan information technology. service management information technology,menyusun katalog layanan information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.004.1,Menyusun Manajemen Konfigurasi Layanan Teknologi Informasi,Menyusun Manajemen Konfigurasi Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menyusun manajemen konfigurasi layanan teknologi informasi. manajemen layanan teknologi informasi,menyusun manajemen konfigurasi layanan information technology. service management information technology,menyusun manajemen konfigurasi layanan information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.005.1,Membuat Prosedur Manajemen Layanan Teknologi Informasi,Membuat Prosedur Manajemen Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,membuat prosedur manajemen layanan teknologi informasi. manajemen layanan teknologi informasi,membuat prosedur service management information technology. service management information technology,membuat prosedur service management information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.006.1,Menerapkan Desain dan Katalog Layanan Teknologi Informasi,Menerapkan Desain dan Katalog Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menerapkan desain dan katalog layanan teknologi informasi. manajemen layanan teknologi informasi,apply implement desain dan katalog layanan information technology. service management information technology,apply implement desain dan katalog layanan information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.007.1,Menerapkan Pengelolaan Tingkat Layanan Teknologi Informasi,Menerapkan Pengelolaan Tingkat Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menerapkan pengelolaan tingkat layanan teknologi informasi. manajemen layanan teknologi informasi,apply implement pengelolaan tingkat layanan information technology. service management information technology,apply implement pengelolaan tingkat layanan information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.008.1,Menerapkan Meja Layanan dan Permintaan Layanan Teknologi Informasi,Menerapkan Meja Layanan dan Permintaan Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menerapkan meja layanan dan permintaan layanan teknologi informasi. manajemen layanan teknologi informasi,apply implement meja layanan dan permintaan layanan information technology. service management information technology,apply implement meja layanan dan permintaan layanan information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.009.1,Menerapkan Pengelolaan Insiden dan Masalah,Menerapkan Pengelolaan Insiden dan Masalah. Manajemen Layanan Teknologi Informasi,menerapkan pengelolaan insiden dan masalah. manajemen layanan teknologi informasi,apply implement pengelolaan insiden dan masalah. service management information technology,apply implement pengelolaan insiden dan masalah. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.010.1,Menerapkan Manajemen Aset Teknologi Informasi,Menerapkan Manajemen Aset Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menerapkan manajemen aset teknologi informasi. manajemen layanan teknologi informasi,apply implement manajemen aset information technology. service management information technology,apply implement manajemen aset information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.011.1,Menerapkan Pengelolaan Konfigurasi Teknologi Informasi,Menerapkan Pengelolaan Konfigurasi Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menerapkan pengelolaan konfigurasi teknologi informasi. manajemen layanan teknologi informasi,apply implement pengelolaan konfigurasi information technology. service management information technology,apply implement pengelolaan konfigurasi information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.012.1,Menerapkan Pengujian dan Validasi Layanan Teknologi Informasi,Menerapkan Pengujian dan Validasi Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menerapkan pengujian dan validasi layanan teknologi informasi. manajemen layanan teknologi informasi,apply implement pengujian dan validasi layanan information technology. service management information technology,apply implement pengujian dan validasi layanan information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.013.1,Menerapkan Pengelolaan Rilis Teknologi Informasi,Menerapkan Pengelolaan Rilis Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menerapkan pengelolaan rilis teknologi informasi. manajemen layanan teknologi informasi,apply implement pengelolaan rilis information technology. service management information technology,apply implement pengelolaan rilis information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.014.1,Menerapkan Kendali Perubahan,Menerapkan Kendali Perubahan. Manajemen Layanan Teknologi Informasi,menerapkan kendali perubahan. manajemen layanan teknologi informasi,apply implement kendali perubahan. service management information technology,apply implement kendali perubahan. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.015.1,Menerapkan Pengelolaan Kapasitas dan Ketersediaan Layanan Teknologi Informasi,Menerapkan Pengelolaan Kapasitas dan Ketersediaan Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menerapkan pengelolaan kapasitas dan ketersediaan layanan teknologi informasi. manajemen layanan teknologi informasi,apply implement pengelolaan kapasitas dan ketersediaan layanan information technology. service management information technology,apply implement pengelolaan kapasitas dan ketersediaan layanan information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.016.1,Menerapkan Pengelolaan Peristiwa dan Pemantauan,Menerapkan Pengelolaan Peristiwa dan Pemantauan. Manajemen Layanan Teknologi Informasi,menerapkan pengelolaan peristiwa dan pemantauan. manajemen layanan teknologi informasi,apply implement pengelolaan peristiwa dan pemantauan. service management information technology,apply implement pengelolaan peristiwa dan pemantauan. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.017.1,Menerapkan Pengelolaan Keberlangsungan Layanan Teknologi Informasi,Menerapkan Pengelolaan Keberlangsungan Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menerapkan pengelolaan keberlangsungan layanan teknologi informasi. manajemen layanan teknologi informasi,apply implement pengelolaan keberlangsungan layanan information technology. service management information technology,apply implement pengelolaan keberlangsungan layanan information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.018.1,Menyusun Perbaikan Berkelanjutan dalam Pelaksanaan Manajemen Layanan Teknologi Informasi,Menyusun Perbaikan Berkelanjutan dalam Pelaksanaan Manajemen Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menyusun perbaikan berkelanjutan dalam pelaksanaan manajemen layanan teknologi informasi. manajemen layanan teknologi informasi,menyusun perbaikan berkelanjutan dalam pelaksanaan service management information technology. service management information technology,menyusun perbaikan berkelanjutan dalam pelaksanaan service management information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.019.1,Menyusun Rekomendasi Perbaikan Berkelanjutan Manajemen Layanan Teknologi Informasi,Menyusun Rekomendasi Perbaikan Berkelanjutan Manajemen Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menyusun rekomendasi perbaikan berkelanjutan manajemen layanan teknologi informasi. manajemen layanan teknologi informasi,menyusun rekomendasi perbaikan berkelanjutan service management information technology. service management information technology,menyusun rekomendasi perbaikan berkelanjutan service management information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
J.62LTI00.001.1,Menentukan Tujuan dan Ruang Lingkup Layanan Teknologi Informasi,Menentukan Tujuan dan Ruang Lingkup Layanan Teknologi Informasi. Manajemen Layanan Teknologi Informasi,menentukan tujuan dan ruang lingkup layanan teknologi informasi. manajemen layanan teknologi informasi,menentukan tujuan dan ruang lingkup layanan information technology. service management information technology,menentukan tujuan dan ruang lingkup layanan information technology. service management information technology,,Manajemen Layanan Teknologi Informasi,SKKNI Manajemen Layanan Teknologi Informasi
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,Melakukan Penginian dan Pengembangan Teknologi Informasi. Jasa Pengelolaan Pusat Distribusi Distribution Center DC,melakukan penginian dan pengembangan teknologi informasi. jasa pengelolaan pusat distribusi distribution center dc,melakukan penginian dan pengembangan information technology. jasa pengelolaan pusat distribusi distribution center dc,melakukan penginian dan pengembangan information technology. jasa pengelolaan pusat distribusi distribution center dc,,Jasa Pengelolaan Pusat Distribusi Distribution Center DC,SKKNI Jasa Pengelolaan Pusat Distribusi
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,Menggunakan Peralatan Teknologi Informasi. Jasa Pengelolaan Pusat Distribusi Distribution Center DC,menggunakan peralatan teknologi informasi. jasa pengelolaan pusat distribusi distribution center dc,menggunakan peralatan information technology. jasa pengelolaan pusat distribusi distribution center dc,menggunakan peralatan information technology. jasa pengelolaan pusat distribusi distribution center dc,,Jasa Pengelolaan Pusat Distribusi Distribution Center DC,SKKNI Jasa Pengelolaan Pusat Distribusi
J.62KKI00.001.1,Merumuskan Dasar Program Kesadaran Keamanan Informasi,Merumuskan Dasar Program Kesadaran Keamanan Informasi. Kesadaran Keamanan Informasi,merumuskan dasar program kesadaran keamanan informasi. kesadaran keamanan informasi,formulate dasar program kesadaran information security. kesadaran information security,formulate dasar program kesadaran information security. kesadaran information security,,Kesadaran Keamanan Informasi,SKKNI Kesadaran Keamanan Informasi
